nombre,coherencia,stim,resp,rt
FA_2019_09_09_11_54_00.mat,0.15,1,1,0.915453546
FA_2019_09_09_11_54_00.mat,0.1,0,0,0.882794375
FA_2019_09_09_11_54_00.mat,0.3,0,0,0.601469362
FA_2019_09_09_11_54_00.mat,0.2,1,1,3.380098455
FA_2019_09_09_11_54_00.mat,0.15,0,0,0.583097125
FA_2019_09_09_11_54_00.mat,0.15,0,0,1.415614375
FA_2019_09_09_11_54_00.mat,0.15,0,0,0.79956072
FA_2019_09_09_11_54_00.mat,0.1,1,1,1.017742559
FA_2019_09_09_11_54_00.mat,0.7,0,0,0.632378911
FA_2019_09_09_11_54_00.mat,0.1,1,1,0.933340987
FA_2019_09_09_11_54_00.mat,0.7,1,1,0.615612445
FA_2019_09_09_11_54_00.mat,0.15,1,1,0.882407355
FA_2019_09_09_11_54_00.mat,0.3,0,0,0.68180404
FA_2019_09_09_11_54_00.mat,0.15,1,1,1.28219967
FA_2019_09_09_11_54_00.mat,0.7,0,0,0.582802445
FD_2019_09_09_11_09_21.mat,0.15,0,0,3.213104412
FD_2019_09_09_11_09_21.mat,0.7,1,1,0.693828858
